user_id,rank,product_id,product_category,brand,retrieval_score,ranking_score,product_score,recommendation_reason,category_match,predicted_purchase_probability
U000035,1,P000023,Grocery,HarvestHill,0.0022,0.0031,0.1432,Recommended because ranking features predict purchase intent,False,0.0031
U000035,2,P000006,Grocery,HarvestHill,0.002,0.0018,0.1425,Recommended because the two-tower retrieval model found similar behavior,False,0.0018
U000035,3,P000011,Home,LumaHome,0.0015,0.0022,0.1406,Recommended because ranking features predict purchase intent,False,0.0022
U000035,4,P000031,Sports,MotionWorks,0.0019,0.0019,0.1402,Recommended because the two-tower retrieval model found similar behavior,False,0.0019
U000035,5,P000014,Sports,Fieldstone,0.0086,0.0017,0.1397,Recommended because the two-tower retrieval model found similar behavior,False,0.0017
U000035,6,P000010,Fashion,LinenLane,0.0,0.0023,0.1393,Recommended because ranking features predict purchase intent,False,0.0023
U000035,7,P000028,Electronics,VoltEdge,0.0021,0.0015,0.1373,Recommended because it matches the user's category affinity,True,0.0015
U000035,8,P000012,Grocery,NorthPantry,0.0016,0.0018,0.1358,Recommended because ranking features predict purchase intent,False,0.0018
U000035,9,P000018,Electronics,Auralux,0.0,0.003,0.1354,Recommended because it matches the user's category affinity,True,0.003
U000035,10,P000009,Electronics,VoltEdge,0.0,0.0033,0.1354,Recommended because it matches the user's category affinity,True,0.0033
U000037,1,P000023,Grocery,HarvestHill,0.0007,0.0031,0.1428,Recommended because ranking features predict purchase intent,False,0.0031
U000037,2,P000006,Grocery,HarvestHill,0.0008,0.0018,0.1421,Recommended because ranking features predict purchase intent,False,0.0018
U000037,3,P000011,Home,LumaHome,0.0008,0.0022,0.1404,Recommended because ranking features predict purchase intent,False,0.0022
U000037,4,P000031,Sports,MotionWorks,0.0008,0.0019,0.1399,Recommended because ranking features predict purchase intent,False,0.0019
U000037,5,P000010,Fashion,LinenLane,0.0007,0.0023,0.1395,Recommended because ranking features predict purchase intent,False,0.0023
U000037,6,P000014,Sports,Fieldstone,0.0,0.0017,0.1373,Recommended because ranking features predict purchase intent,False,0.0017
U000037,7,P000028,Electronics,VoltEdge,0.0007,0.0015,0.1369,Recommended because it matches the user's category affinity,True,0.0015
U000037,8,P000009,Electronics,VoltEdge,0.0007,0.0033,0.1356,Recommended because it matches the user's category affinity,True,0.0033
U000037,9,P000018,Electronics,Auralux,0.0,0.003,0.1354,Recommended because it matches the user's category affinity,True,0.003
